Station,Year,Month,Days_Available,Rainfall_Total,Rainfall_Days,Max_Daily_Rain,Temperature_Mean,Max_Temperature,Min_Temperature,Humidity_Mean,Sunshine_Mean,Season,Latitude,Longitude,Ra_MJ_m2_day,Days_in_Month,PET_mm_day,PET_mm_month,Water_Balance
Sandwip,2002,5,31,835.0,19,214.0,26.664516129032258,27.8,25.0,88.0,4.903225806451612,Pre-Monsoon,22.48,91.43,39.65175126597398,31,2.7684899964285234,85.82318988928422,749.1768101107158
Sandwip,2002,6,30,1017.0,14,339.0,26.92,27.8,25.0,88.26666666666667,2.526666666666666,Monsoon,22.48,91.43,40.02569127481533,30,2.8106557149003595,84.31967144701079,932.6803285529892
Sandwip,2002,7,31,2031.0,17,370.0,26.574193548387097,27.7,24.3,89.29032258064517,2.1096774193548384,Monsoon,22.48,91.43,39.63045473142296,31,3.0428951397367263,94.32974933183851,1936.6702506681615
Sandwip,2002,8,31,485.0,25,93.0,29.02903225806452,29.55,27.9,85.54838709677419,3.251612903225805,Monsoon,22.48,91.43,38.18230429702243,31,2.1552978151660023,66.81423227014606,418.1857677298539
Sandwip,2002,9,30,995.0,19,211.0,28.383333333333336,29.1,27.3,87.73333333333333,5.156666666666666,Monsoon,22.48,91.43,35.03206816349564,30,2.036926246594454,61.10778739783362,933.8922126021664
Sandwip,2002,10,31,576.0,22,100.0,28.119354838709683,28.85,26.2,85.74193548387096,5.666129032258064,Post-Monsoon,22.48,91.43,30.450830141623346,31,2.1360226347651787,66.21670167772054,509.78329832227945
Sandwip,2002,11,30,68.0,6,30.0,24.381666666666664,27.1,22.05,84.23333333333333,5.03,Post-Monsoon,22.48,91.43,26.14346665699684,30,2.325522783190582,69.76568349571747,-1.765683495717468
Sandwip,2002,12,31,0.0,0,0.0,20.296774193548387,21.8,18.1,97.06451612903226,5.929032258064517,Winter,22.48,91.43,24.17597495430461,31,1.662497733882324,51.53742975035204,-51.53742975035204
Sandwip,2003,1,31,11.0,4,4.0,18.135483870967747,19.6,17.2,82.0,6.370967741935484,Winter,22.48,91.43,25.460275351627466,31,1.3300875035238529,41.232712609239435,-30.232712609239435
Sandwip,2003,2,28,0.0,0,0.0,21.117857142857144,22.3,19.5,79.96428571428571,6.992857142857141,Winter,22.48,91.43,29.486971760193196,28,1.801963991238094,50.454991754666636,-50.454991754666636
